name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Bradley Beal","Washington Wizards",2016-02-09,2015,6580,1610612764,400828672,1,9,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-02-23,2015,2991282,1610612758,400828729,1,0,45,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Otto Porter","Washington Wizards",2016-02-18,2015,,1610612764,0,1,5,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",2,-1,0,0.00,,0.00,0.00
"Cody Zeller","Charlotte Hornets",2016-02-24,2015,2579258,1610612766,400828732,4,6,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-02-19,2015,2991235,1610612760,400828699,2,6,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,0,0.00,,0.00,0.00
"Al Horford","Atlanta Hawks",2016-02-19,2015,3213,1610612737,400828695,4,7,40,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Bismack Biyombo","Toronto Raptors",2016-02-10,2015,6427,1610612761,400828684,2,4,05,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Marcin Gortat","Washington Wizards",2016-02-23,2015,2758,1610612764,400828728,3,4,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Dwight Howard","Houston Rockets",2016-02-10,2015,2384,1610612745,400828687,3,8,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-02-20,2015,3059319,1610612750,400828708,3,10,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
